miRNA,SRR5896100,SRR5914587,SRR5914588,SRR5914589,SRR5914590,SRR5914591,SRR5914592,SRR5914593,SRR5914594,SRR5914595,SRR5914596,SRR5914597,SRR5914598,SRR5914599,SRR5914600,SRR5914601,SRR5914602,SRR5914603,SRR5914604,SRR5914605,SRR5914606,SRR5914607,SRR5914608,SRR5914609,SRR5914610,SRR5914611,SRR5914612,SRR5914613,SRR5914614,SRR5914615,SRR5914616,SRR5914617,SRR5914618,SRR5914619,SRR5914620,SRR5914621,SRR5914622,SRR5914623,SRR5914624,SRR5914625,SRR5914626,SRR5914627,SRR5914628,SRR5914629,SRR5914630,SRR5914631,SRR5914632,SRR5914633,SRR5914634,SRR5914635,SRR5914636,SRR5914637,SRR5914638,SRR5914639,SRR5914640,SRR5914641,SRR5914642,SRR5914643,SRR5914644,SRR5914645,SRR5914646,SRR5914647,SRR5914648,SRR5914649,SRR5914650,SRR5914652,SRR5914653,SRR5914654,SRR5914655,SRR5914656,SRR5914657,SRR5914658,SRR5914659,SRR5914660,SRR5914661,SRR5914662,SRR5914663,SRR5914664,SRR5914665,SRR5914666,SRR5914667,SRR5914668,SRR5914669,SRR5914670,SRR5914671,SRR5914672,SRR5914673
Hsa-Let-7-P1c_5p,385.0,298.0,1458.0,202.0,2930.0,2033.0,0.0,644.0,845.0,222.0,1061.0,320.0,875.0,650.0,1149.0,929.0,2624.0,498.0,863.0,228.0,1059.0,502.0,2431.0,2218.0,895.0,2067.0,1904.0,1430.0,2207.0,1136.0,547.0,3071.0,3016.0,1006.0,295.0,102.0,979.0,1497.0,574.0,2664.0,3724.0,531.0,103.0,235.0,614.0,2213.0,2307.0,2940.0,233.0,4244.0,906.0,579.0,1381.0,735.0,2750.0,593.0,696.0,951.0,1284.0,417.0,259.0,1785.0,3373.0,3266.0,1433.0,538.0,1215.0,499.0,828.0,226.0,1564.0,1039.0,2548.0,1198.0,1111.0,2240.0,1943.0,934.0,1024.0,3062.0,760.0,3440.0,1658.0,938.0,1336.0,3328.0,669.0
Hsa-Let-7-P1c_5p chr21 segs:1-30 cds:+:16539836-16539865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a1_3p*,75.0,50.0,88.0,26.0,145.0,84.0,0.0,36.0,81.0,19.0,101.0,22.0,19.0,24.0,70.0,48.0,126.0,44.0,34.0,35.0,42.0,23.0,107.0,141.0,55.0,50.0,41.0,54.0,98.0,65.0,61.0,175.0,102.0,68.0,19.0,12.0,92.0,91.0,120.0,186.0,67.0,33.0,11.0,24.0,44.0,72.0,89.0,63.0,19.0,141.0,40.0,26.0,34.0,65.0,101.0,13.0,41.0,48.0,67.0,91.0,106.0,79.0,88.0,41.0,164.0,26.0,77.0,77.0,48.0,61.0,121.0,71.0,86.0,56.0,61.0,36.0,46.0,69.0,44.0,91.0,44.0,52.0,66.0,56.0,54.0,39.0,24.0
Hsa-Let-7-P2a1_3p* chr9 segs:1-29 cds:+:94176011-94176039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a1_5p chr9 segs:1-30 cds:+:94175960-94175989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a2_3p*,42.0,27.0,84.0,12.0,65.0,48.0,0.0,24.0,31.0,14.0,38.0,21.0,16.0,11.0,62.0,31.0,50.0,35.0,34.0,40.0,19.0,11.0,42.0,31.0,46.0,34.0,40.0,30.0,39.0,26.0,36.0,60.0,35.0,43.0,16.0,6.0,39.0,31.0,34.0,82.0,44.0,33.0,9.0,16.0,35.0,37.0,70.0,33.0,10.0,48.0,27.0,24.0,28.0,46.0,35.0,18.0,32.0,35.0,46.0,48.0,37.0,66.0,68.0,46.0,94.0,25.0,52.0,42.0,15.0,33.0,33.0,32.0,39.0,41.0,57.0,8.0,44.0,61.0,30.0,63.0,40.0,42.0,58.0,19.0,32.0,41.0,12.0
Hsa-Let-7-P2a2_3p* chr22 segs:1-29 cds:+:46112798-46112826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a2_5p chr22 segs:1-30 cds:+:46112750-46112779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_3p*,0.0,44.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,95.0,0.0,0.0,140.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,31.0,64.0,0.0,0.0,0.0,46.0,61.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_3p* chrX segs:1-29 cds:-:53557191-53557219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_5p,47744.0,20255.0,51928.0,17225.0,86527.0,37928.0,2.0,33861.0,44844.0,21473.0,30045.0,22424.0,13924.0,16056.0,36059.0,34131.0,62934.0,48235.0,25403.0,44093.0,36644.0,18062.0,51466.0,52476.0,40097.0,58260.0,37895.0,27794.0,43639.0,47712.0,24611.0,83197.0,50090.0,38874.0,19792.0,26840.0,58630.0,43427.0,56854.0,68652.0,56610.0,27706.0,18722.0,24937.0,30874.0,34987.0,50825.0,53611.0,11400.0,57552.0,29218.0,25936.0,33495.0,33691.0,52056.0,15866.0,26682.0,33963.0,42729.0,24666.0,49625.0,56192.0,42895.0,64551.0,55745.0,18310.0,41226.0,29606.0,32938.0,26315.0,49630.0,48333.0,53019.0,34831.0,40319.0,32265.0,27010.0,17997.0,24463.0,52468.0,35326.0,58501.0,60143.0,32203.0,39044.0,38512.0,13188.0
Hsa-Let-7-P2a3_5p chrX segs:1-30 cds:-:53557240-53557269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b1_3p*,18.0,11.0,29.0,10.0,9.0,17.0,0.0,8.0,16.0,5.0,8.0,9.0,7.0,13.0,28.0,15.0,19.0,8.0,11.0,13.0,16.0,0.0,14.0,26.0,15.0,12.0,13.0,10.0,24.0,11.0,12.0,27.0,18.0,14.0,4.0,5.0,22.0,15.0,32.0,18.0,17.0,13.0,0.0,7.0,19.0,18.0,22.0,13.0,4.0,18.0,8.0,9.0,12.0,20.0,8.0,4.0,18.0,7.0,24.0,13.0,18.0,29.0,30.0,28.0,38.0,8.0,21.0,11.0,12.0,20.0,18.0,16.0,22.0,30.0,21.0,12.0,15.0,22.0,23.0,19.0,13.0,10.0,31.0,17.0,15.0,17.0,5.0
Hsa-Let-7-P2b1_3p* chr9 segs:1-29 cds:+:94176407-94176435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b1_5p,6256.0,3282.0,10848.0,2986.0,5849.0,6571.0,0.0,4662.0,6804.0,2557.0,3534.0,4116.0,2886.0,2529.0,8357.0,5760.0,9835.0,9340.0,3796.0,8236.0,5667.0,2789.0,9380.0,7340.0,5485.0,11055.0,6006.0,4574.0,9837.0,5616.0,5302.0,14435.0,6808.0,6408.0,2606.0,4060.0,6936.0,7286.0,6300.0,14597.0,8134.0,5197.0,2351.0,2690.0,4877.0,6033.0,8100.0,8617.0,1673.0,8134.0,5058.0,4169.0,8055.0,6371.0,9424.0,3486.0,5019.0,6548.0,6362.0,3711.0,5873.0,10712.0,10010.0,11559.0,8384.0,3756.0,6035.0,4123.0,4186.0,3902.0,5220.0,6842.0,7595.0,4755.0,6842.0,5552.0,4265.0,5696.0,3986.0,12743.0,7216.0,12272.0,12794.0,4825.0,8327.0,8293.0,2325.0
Hsa-Let-7-P2b1_5p chr9 segs:1-30 cds:+:94176351-94176380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b2_3p*,65.0,32.0,65.0,30.0,49.0,65.0,0.0,26.0,80.0,23.0,57.0,28.0,19.0,24.0,57.0,52.0,80.0,28.0,72.0,57.0,48.0,10.0,70.0,76.0,73.0,39.0,67.0,82.0,97.0,59.0,30.0,113.0,70.0,75.0,22.0,12.0,54.0,67.0,64.0,132.0,78.0,34.0,12.0,19.0,45.0,55.0,72.0,53.0,15.0,82.0,31.0,36.0,31.0,48.0,46.0,21.0,41.0,43.0,60.0,67.0,39.0,97.0,91.0,43.0,166.0,38.0,61.0,61.0,37.0,45.0,62.0,58.0,63.0,107.0,55.0,70.0,36.0,78.0,39.0,82.0,69.0,60.0,66.0,49.0,28.0,43.0,15.0
Hsa-Let-7-P2b2_3p* chr22 segs:1-29 cds:+:46113743-46113771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b2_5p,9047.0,3286.0,13477.0,3105.0,22015.0,7656.0,0.0,4196.0,10696.0,3005.0,8408.0,4014.0,2745.0,4428.0,7159.0,5849.0,16973.0,7638.0,5026.0,9513.0,7782.0,3914.0,11791.0,11335.0,8737.0,9225.0,8338.0,9227.0,10761.0,7058.0,4941.0,18629.0,11525.0,9385.0,2588.0,3576.0,7279.0,8266.0,9169.0,18954.0,12890.0,5281.0,2828.0,2982.0,4967.0,8789.0,12407.0,11349.0,2457.0,16311.0,8484.0,5158.0,4761.0,7106.0,16213.0,3278.0,4719.0,6010.0,7667.0,6763.0,9416.0,13677.0,12908.0,13028.0,15683.0,3519.0,7807.0,8423.0,8092.0,5381.0,12741.0,10297.0,10209.0,10291.0,7424.0,7607.0,6453.0,6615.0,4749.0,8615.0,7320.0,12681.0,12358.0,5874.0,7196.0,9484.0,2705.0
Hsa-Let-7-P2b2_5p chr22 segs:1-30 cds:+:46113689-46113718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,28.0,0.0,0.0,61.0,19.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,28.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,38.0,64.0,0.0,0.0,68.0,57.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_3p* chrX segs:1-29 cds:-:53556236-53556264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
