miRNA,M1,M10,M11_2,M12_1,M12_2,M13,M13_2,M14_1,M14_2,M16,M18,M19,M2,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M34,M35_1,M35_2,M38,M39_1,M39_2,M4,M40,M5,M6
Hsa-Let-7-P1c_5p,515.0,3735.0,7608.0,8064.0,7806.0,9839.0,4035.0,6971.0,12358.0,7126.0,965.0,6304.0,925.0,394.0,804.0,855.0,390.0,1665.0,1166.0,5513.0,1025.0,1210.0,2076.0,782.0,4700.0,315.0,4108.0,1282.0,2336.0,1448.0,1870.0,5902.0,1919.0,766.0,928.0,1194.0
Hsa-Let-7-P1c_5p chr21 segs:1-30 cds:+:16539836-16539865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a1_3p*,53.0,21.0,54.0,105.0,109.0,143.0,152.0,90.0,52.0,62.0,34.0,73.0,15.0,28.0,165.0,22.0,85.0,109.0,102.0,78.0,124.0,86.0,43.0,66.0,65.0,11.0,36.0,206.0,54.0,7.0,50.0,180.0,54.0,18.0,40.0,112.0
Hsa-Let-7-P2a1_3p* chr9 segs:1-29 cds:+:94176011-94176039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a1_5p chr9 segs:1-30 cds:+:94175960-94175989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a2_3p*,26.0,20.0,22.0,71.0,79.0,156.0,85.0,77.0,23.0,45.0,27.0,42.0,30.0,20.0,54.0,28.0,44.0,46.0,45.0,95.0,42.0,40.0,7.0,34.0,28.0,16.0,16.0,67.0,66.0,2.0,26.0,95.0,40.0,29.0,32.0,73.0
Hsa-Let-7-P2a2_3p* chr22 segs:1-29 cds:+:46112798-46112826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a2_5p chr22 segs:1-30 cds:+:46112750-46112779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,69.0,0.0,0.0
Hsa-Let-7-P2a3_3p* chrX segs:1-29 cds:-:53557191-53557219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_5p,23297.0,114847.0,49866.0,138408.0,99687.0,94153.0,106461.0,100728.0,71319.0,18681.0,30675.0,89056.0,39924.0,19090.0,56922.0,34218.0,44411.0,73731.0,35352.0,64370.0,47524.0,39986.0,35047.0,51133.0,82083.0,12343.0,105799.0,68230.0,67610.0,12072.0,59892.0,92811.0,51390.0,46841.0,40668.0,122775.0
Hsa-Let-7-P2a3_5p chrX segs:1-30 cds:-:53557240-53557269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b1_3p*,6.0,18.0,11.0,23.0,42.0,55.0,54.0,17.0,17.0,11.0,9.0,14.0,6.0,15.0,24.0,16.0,19.0,30.0,10.0,22.0,9.0,8.0,0.0,25.0,23.0,0.0,7.0,35.0,22.0,0.0,10.0,35.0,22.0,6.0,10.0,20.0
Hsa-Let-7-P2b1_3p* chr9 segs:1-29 cds:+:94176407-94176435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b1_5p,4458.0,17458.0,10320.0,25309.0,24189.0,22416.0,25342.0,21525.0,8061.0,4344.0,5327.0,16007.0,5110.0,3156.0,6793.0,5412.0,4806.0,12556.0,3653.0,17477.0,7541.0,5987.0,3792.0,7959.0,12841.0,3391.0,20810.0,14674.0,16440.0,1943.0,13731.0,13405.0,6605.0,8251.0,8016.0,12954.0
Hsa-Let-7-P2b1_5p chr9 segs:1-30 cds:+:94176351-94176380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b2_3p*,40.0,40.0,64.0,141.0,145.0,322.0,277.0,129.0,64.0,111.0,37.0,93.0,39.0,25.0,86.0,51.0,75.0,114.0,77.0,180.0,50.0,58.0,34.0,44.0,100.0,45.0,78.0,158.0,101.0,11.0,58.0,209.0,57.0,45.0,43.0,76.0
Hsa-Let-7-P2b2_3p* chr22 segs:1-29 cds:+:46113743-46113771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b2_5p,7370.0,14604.0,10683.0,37748.0,19644.0,30293.0,33011.0,24401.0,19184.0,8169.0,4291.0,15576.0,6630.0,3660.0,11468.0,5498.0,8589.0,22210.0,11185.0,22392.0,13541.0,9932.0,9284.0,8883.0,17739.0,5505.0,16117.0,19979.0,15334.0,2770.0,23478.0,25377.0,12642.0,6853.0,6486.0,24689.0
Hsa-Let-7-P2b2_5p chr22 segs:1-30 cds:+:46113689-46113718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_3p* chrX segs:1-29 cds:-:53556236-53556264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_5p,2574.0,12884.0,4246.0,10812.0,10572.0,10630.0,8472.0,9487.0,13368.0,2095.0,4058.0,9203.0,6466.0,2686.0,10508.0,4009.0,6276.0,8951.0,5797.0,5801.0,5936.0,7827.0,12316.0,7810.0,7904.0,1266.0,5062.0,9132.0,6997.0,2238.0,5974.0,18336.0,3785.0,3739.0,4577.0,15839.0
Hsa-Let-7-P2b3_5p chrX segs:1-30 cds:-:53556293-53556322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c1_3p*,308.0,373.0,398.0,1211.0,1006.0,932.0,1633.0,716.0,460.0,285.0,432.0,526.0,342.0,266.0,871.0,281.0,474.0,766.0,542.0,719.0,597.0,271.0,329.0,1038.0,539.0,160.0,698.0,890.0,415.0,168.0,974.0,1539.0,381.0,316.0,375.0,1258.0
Hsa-Let-7-P2c1_3p* chr9 segs:1-29 cds:+:94178893-94178921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c1_5p,1606.0,4962.0,2112.0,11479.0,4465.0,5998.0,9431.0,5584.0,4407.0,1049.0,1734.0,4938.0,2469.0,1283.0,5036.0,1507.0,3263.0,9787.0,2314.0,5159.0,4460.0,2483.0,2834.0,5012.0,4790.0,463.0,5251.0,4752.0,4182.0,597.0,6112.0,8774.0,2416.0,2605.0,1269.0,11245.0
Hsa-Let-7-P2c1_5p chr9 segs:1-30 cds:+:94178839-94178868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c2_3p*,46.0,38.0,174.0,146.0,214.0,236.0,168.0,131.0,35.0,49.0,31.0,59.0,26.0,22.0,42.0,38.0,16.0,108.0,51.0,351.0,66.0,53.0,20.0,46.0,80.0,26.0,40.0,273.0,208.0,0.0,179.0,212.0,38.0,49.0,48.0,133.0
Hsa-Let-7-P2c2_3p* chr12 segs:1-29 cds:+:62603745-62603773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c2_5p,4875.0,8241.0,30859.0,20552.0,29371.0,32764.0,36548.0,26672.0,6309.0,4359.0,5083.0,11857.0,4560.0,4358.0,6382.0,5706.0,4614.0,12285.0,8805.0,46718.0,10853.0,7162.0,5558.0,10479.0,14579.0,3023.0,8314.0,28397.0,20942.0,2165.0,59388.0,33990.0,5736.0,7310.0,11165.0,21780.0
Hsa-Let-7-P2c2_5p chr12 segs:1-30 cds:+:62603689-62603718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c3_3p*,11.0,28.0,31.0,63.0,68.0,72.0,49.0,58.0,23.0,25.0,24.0,35.0,21.0,19.0,27.0,29.0,42.0,60.0,31.0,46.0,61.0,24.0,14.0,48.0,40.0,12.0,20.0,60.0,70.0,6.0,34.0,74.0,32.0,38.0,27.0,81.0
Hsa-Let-7-P2c3_3p* chr3 segs:1-29 cds:-:52268274-52268302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c3_5p,5843.0,42132.0,19327.0,67896.0,37125.0,38909.0,40664.0,44731.0,28199.0,9371.0,12961.0,24473.0,15975.0,8762.0,15827.0,13558.0,31283.0,35331.0,15303.0,31815.0,20913.0,17588.0,11383.0,21332.0,29167.0,7259.0,41677.0,25992.0,35336.0,6333.0,28457.0,32196.0,12824.0,17156.0,15802.0,61146.0
Hsa-Let-7-P2c3_5p chr3 segs:1-30 cds:-:52268330-52268359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P1_3p chr20 segs:1-30 cds:+:62554349-62554378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P1_3p/P2_3p,4.0,13.0,19.0,244.0,31.0,31.0,21.0,9.0,75.0,0.0,16.0,18.0,12.0,3.0,5.0,2.0,0.0,19.0,18.0,10.0,13.0,3.0,16.0,4.0,40.0,0.0,26.0,2.0,11.0,0.0,16.0,75.0,7.0,22.0,2.0,23.0
Hsa-Mir-1-P1_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P1_5p* chr20 segs:1-31 cds:+:62554310-62554340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P2_3p chr18 segs:1-30 cds:-:21829009-21829038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P2_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P2_5p* chr18 segs:1-30 cds:-:21829048-21829077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P3_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P3_3p chr6 segs:1-30 cds:+:52144399-52144428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P3_5p* chr6 segs:1-31 cds:+:52144361-52144391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v1_3p* chr17 segs:1-29 cds:-:48579858-48579886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v1_5p chr17 segs:1-30 cds:-:48579899-48579928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v2_3p* chr17 segs:1-29 cds:-:48579859-48579887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v2_5p chr17 segs:1-30 cds:-:48579898-48579927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a_3p*,140.0,257.0,86.0,633.0,201.0,196.0,202.0,387.0,306.0,13.0,591.0,130.0,239.0,96.0,645.0,295.0,346.0,588.0,279.0,310.0,819.0,863.0,432.0,837.0,131.0,266.0,350.0,279.0,242.0,161.0,322.0,522.0,703.0,116.0,1025.0,348.0
Hsa-Mir-10-P1a_5p,177297.0,1720133.0,175009.0,632071.0,463221.0,341514.0,210852.0,637207.0,1768433.0,30465.0,844341.0,430313.0,1734519.0,99583.0,664733.0,279386.0,406359.0,602388.0,177999.0,456657.0,622576.0,1076212.0,2967976.0,1128454.0,496515.0,606333.0,642508.0,267844.0,529477.0,1137990.0,798006.0,1525265.0,877933.0,239690.0,1523305.0,243891.0
Hsa-Mir-10-P1b-v1_3p* chr2 segs:1-29 cds:+:176150368-176150396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1b-v1_5p chr2 segs:1-30 cds:+:176150327-176150356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1b-v2_3p* chr2 segs:1-29 cds:+:176150367-176150395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1b-v2_5p chr2 segs:1-30 cds:+:176150328-176150357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1b_3p*,0.0,21.0,31.0,18.0,6.0,0.0,51.0,34.0,53.0,63.0,0.0,12.0,0.0,0.0,0.0,2.0,6.0,15.0,0.0,16.0,27.0,10.0,3.0,0.0,2.0,0.0,0.0,30.0,37.0,2.0,152.0,96.0,43.0,0.0,51.0,0.0
Hsa-Mir-10-P1b_5p,2999.0,820938.0,191452.0,110037.0,39646.0,10906.0,143727.0,239745.0,619393.0,293037.0,14568.0,131607.0,47481.0,2609.0,13004.0,1740.0,25890.0,77063.0,20858.0,319999.0,52336.0,71307.0,22934.0,2134.0,53704.0,1964.0,8677.0,153436.0,228848.0,146955.0,2172892.0,682318.0,235934.0,4568.0,417920.0,1864.0
Hsa-Mir-10-P2a_3p*,6.0,6.0,44.0,67.0,120.0,191.0,45.0,66.0,28.0,9.0,16.0,60.0,11.0,17.0,13.0,14.0,3.0,39.0,17.0,138.0,57.0,10.0,11.0,9.0,20.0,0.0,27.0,86.0,48.0,0.0,39.0,40.0,12.0,4.0,11.0,18.0
Hsa-Mir-10-P2a_3p* chr11 segs:1-30 cds:-:122152234-122152263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P2a_5p,554.0,1390.0,6498.0,8682.0,11393.0,16957.0,9129.0,8453.0,9425.0,3553.0,2585.0,6804.0,2707.0,1308.0,2302.0,1507.0,167.0,8464.0,7202.0,4739.0,11607.0,3231.0,11950.0,1520.0,6844.0,388.0,4433.0,6348.0,4922.0,1739.0,7939.0,7773.0,2256.0,1430.0,3173.0,1968.0
Hsa-Mir-10-P2a_5p chr11 segs:1-30 cds:-:122152269-122152298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P2b_3p*,14.0,76.0,242.0,320.0,195.0,266.0,91.0,118.0,65.0,71.0,70.0,113.0,18.0,34.0,56.0,83.0,80.0,68.0,62.0,476.0,138.0,239.0,31.0,284.0,137.0,19.0,68.0,113.0,178.0,8.0,1248.0,556.0,31.0,89.0,56.0,450.0
Hsa-Mir-10-P2b_3p* chr19 segs:1-30 cds:+:51692654-51692683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P2b_5p,751.0,4435.0,16783.0,18111.0,16803.0,28415.0,12425.0,10065.0,31362.0,7912.0,4426.0,12795.0,7704.0,784.0,4494.0,6538.0,6088.0,7626.0,5739.0,9899.0,15742.0,20977.0,39450.0,30364.0,26350.0,2053.0,6674.0,10671.0,21943.0,14101.0,48859.0,109618.0,4406.0,4450.0,3501.0,12966.0
