miRNA,COMET-0122M2_S39_R1_001,COMET-0128M1_S30_R1_001,COMET-0138M1_S31_R1_001,COMET-0145M1_S32_R1_001,COMET-0182M1_S33_R1_001,COMET-0186M1_S34_R1_001,COMET-0190M1_S35_R1_001,COMET-0227M1_S36_R1_001,COMET-0242M1_S37_R1_001,COMET-0243M1_S40_R1_001,COMET-0252M1_S38_R1_001,Lme-0003M1-1_S13_R1_001,Lme-0009M1-1_S14_R1_001,Lme-0012M1-1_S17_R1_001,Lme-0013M1-1_S18_R1_001,Lme-0017M1-1_S15_R1_001,Lme-0026M1-1_S16_R1_001,Lme-0027M1-1_S1_R1_001,Lme-0033M1-2_S2_R1_001,Lme-0035M1-2_S3_R1_001,Lme-0042M1-2_S4_R1_001,Lme-0043M1-2_S5_R1_001,Lme-0047M1-2_S6_R1_001,Lme-0052M1-1_S7_R1_001,Lme-0063M1-2_S8_R1_001,Lme-0066M1-1_S9_R1_001,Lme-0072M1-2_S10_R1_001,Lme-0078M1-2_S11_R1_001,Lme-0081M1-1_S12_R1_001,PC-0031M1-1_S22_R1_001,PC-0048M1-1_S19_R1_001,PC-0083M1-1_S26_R1_001,PC-0108M1-1_S23_R1_001,PC-0160M1-1_S24_R1_001,PC-0161M1-1_S21_R1_001,PC-0284M1-1_S25_R1_001,PC-0301M1-3_S27_R1_001,PC-0714M1-1_S28_R1_001,PCB-0049M1-1_S20_R1_001,PCB-0234M1-1_S29_R1_001
Hsa-Let-7-P1c_5p,1159.0,1597.0,2320.0,9859.0,1699.0,5894.0,1181.0,1495.0,1925.0,3045.0,9494.0,3955.0,1267.0,5566.0,5123.0,2997.0,3361.0,2171.0,5085.0,7571.0,3182.0,2185.0,2855.0,7152.0,3454.0,1290.0,7331.0,8293.0,5675.0,1894.0,207.0,31681.0,3679.0,3363.0,3823.0,3713.0,1072.0,2725.0,9150.0,6315.0
Hsa-Let-7-P1c_5p chr21 segs:1-30 cds:+:16539836-16539865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a1_3p*,82.0,244.0,59.0,232.0,304.0,180.0,177.0,88.0,384.0,124.0,112.0,30.0,94.0,17.0,203.0,58.0,47.0,121.0,197.0,320.0,261.0,294.0,183.0,439.0,186.0,86.0,185.0,109.0,228.0,58.0,70.0,266.0,100.0,178.0,71.0,137.0,65.0,122.0,70.0,96.0
Hsa-Let-7-P2a1_3p* chr9 segs:1-29 cds:+:94176011-94176039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a1_5p chr9 segs:1-30 cds:+:94175960-94175989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a2_3p*,54.0,115.0,25.0,119.0,138.0,133.0,90.0,61.0,112.0,68.0,46.0,13.0,76.0,10.0,107.0,13.0,16.0,43.0,84.0,148.0,122.0,141.0,75.0,210.0,101.0,50.0,136.0,73.0,80.0,49.0,84.0,188.0,33.0,100.0,68.0,83.0,46.0,21.0,34.0,41.0
Hsa-Let-7-P2a2_3p* chr22 segs:1-29 cds:+:46112798-46112826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a2_5p chr22 segs:1-30 cds:+:46112750-46112779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_3p*,124.0,0.0,0.0,184.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,122.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_3p* chrX segs:1-29 cds:-:53557191-53557219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_5p,70114.0,48457.0,51675.0,83369.0,77975.0,167390.0,80331.0,42007.0,120933.0,64957.0,93418.0,62496.0,25846.0,22996.0,40898.0,80028.0,81650.0,99600.0,81289.0,113915.0,129182.0,118366.0,63204.0,46685.0,164702.0,59988.0,85067.0,216708.0,52351.0,45451.0,32847.0,80039.0,60109.0,77328.0,41534.0,49669.0,38109.0,61285.0,47960.0,56784.0
Hsa-Let-7-P2a3_5p chrX segs:1-30 cds:-:53557240-53557269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b1_3p*,24.0,20.0,10.0,32.0,35.0,32.0,33.0,17.0,33.0,21.0,30.0,5.0,24.0,0.0,24.0,6.0,7.0,26.0,39.0,50.0,34.0,44.0,40.0,61.0,24.0,15.0,16.0,13.0,14.0,25.0,24.0,25.0,16.0,42.0,22.0,24.0,27.0,19.0,12.0,23.0
Hsa-Let-7-P2b1_3p* chr9 segs:1-29 cds:+:94176407-94176435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b1_5p,12490.0,8185.0,8361.0,18422.0,11146.0,28023.0,13661.0,6759.0,14701.0,11750.0,20658.0,15085.0,6228.0,6952.0,10503.0,7345.0,11762.0,13743.0,19363.0,29881.0,16606.0,26936.0,14313.0,17908.0,27128.0,10627.0,23115.0,56233.0,13303.0,6635.0,6708.0,17107.0,9483.0,18817.0,11261.0,9140.0,9315.0,6013.0,7728.0,7929.0
Hsa-Let-7-P2b1_5p chr9 segs:1-30 cds:+:94176351-94176380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b2_3p*,52.0,88.0,50.0,139.0,88.0,128.0,70.0,54.0,94.0,67.0,71.0,7.0,61.0,5.0,104.0,8.0,10.0,73.0,100.0,119.0,86.0,97.0,81.0,181.0,54.0,46.0,26.0,12.0,19.0,66.0,72.0,156.0,58.0,132.0,68.0,80.0,73.0,74.0,86.0,61.0
Hsa-Let-7-P2b2_3p* chr22 segs:1-29 cds:+:46113743-46113771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b2_5p,11267.0,16089.0,12367.0,20498.0,12343.0,29505.0,6750.0,8597.0,19945.0,7170.0,13057.0,19988.0,10615.0,15365.0,16558.0,18836.0,21408.0,14449.0,18109.0,20257.0,11685.0,24592.0,9102.0,14458.0,17122.0,13706.0,16233.0,19644.0,8865.0,7867.0,8864.0,17405.0,13060.0,17139.0,10230.0,13118.0,8750.0,8880.0,26087.0,8708.0
Hsa-Let-7-P2b2_5p chr22 segs:1-30 cds:+:46113689-46113718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_3p* chrX segs:1-29 cds:-:53556236-53556264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_5p,4339.0,11011.0,2607.0,9449.0,13440.0,13187.0,9017.0,8879.0,25588.0,5376.0,8989.0,5772.0,5072.0,4512.0,13250.0,14011.0,16811.0,7391.0,10749.0,18990.0,24878.0,45071.0,9761.0,9713.0,27103.0,3048.0,13646.0,14848.0,6472.0,4779.0,2624.0,9650.0,6546.0,9971.0,5846.0,6559.0,2591.0,6231.0,3367.0,4351.0
Hsa-Let-7-P2b3_5p chrX segs:1-30 cds:-:53556293-53556322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c1_3p*,499.0,397.0,265.0,651.0,512.0,648.0,283.0,324.0,929.0,243.0,408.0,417.0,344.0,401.0,325.0,756.0,323.0,652.0,394.0,577.0,488.0,680.0,319.0,511.0,1015.0,463.0,461.0,509.0,134.0,364.0,246.0,755.0,443.0,620.0,276.0,500.0,588.0,392.0,524.0,404.0
Hsa-Let-7-P2c1_3p* chr9 segs:1-29 cds:+:94178893-94178921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c1_5p,4831.0,3583.0,2614.0,5362.0,6434.0,11391.0,3472.0,2330.0,10487.0,3261.0,6699.0,6326.0,2110.0,2500.0,2871.0,10078.0,9880.0,5706.0,4388.0,5507.0,6502.0,8910.0,3403.0,3082.0,12130.0,4127.0,5493.0,11880.0,3306.0,2645.0,1041.0,5120.0,4098.0,4904.0,2232.0,3139.0,2783.0,2826.0,3599.0,3023.0
Hsa-Let-7-P2c1_5p chr9 segs:1-30 cds:+:94178839-94178868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c2_3p*,40.0,148.0,31.0,235.0,111.0,108.0,82.0,169.0,98.0,126.0,224.0,99.0,169.0,127.0,178.0,41.0,99.0,123.0,277.0,524.0,165.0,419.0,379.0,375.0,153.0,45.0,334.0,224.0,234.0,97.0,83.0,164.0,95.0,350.0,121.0,172.0,129.0,21.0,50.0,35.0
Hsa-Let-7-P2c2_3p* chr12 segs:1-29 cds:+:62603745-62603773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c2_5p,6587.0,19202.0,5615.0,22770.0,14284.0,13533.0,9721.0,15789.0,10817.0,9780.0,22534.0,23694.0,28361.0,15652.0,19383.0,13253.0,35714.0,15158.0,31312.0,43366.0,22841.0,37019.0,26630.0,30878.0,26906.0,4809.0,30974.0,25650.0,18147.0,13338.0,10943.0,31589.0,14518.0,50511.0,22190.0,20026.0,9456.0,3926.0,8393.0,8791.0
Hsa-Let-7-P2c2_5p chr12 segs:1-30 cds:+:62603689-62603718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c3_3p*,60.0,68.0,21.0,133.0,89.0,81.0,73.0,66.0,107.0,48.0,78.0,24.0,135.0,24.0,87.0,48.0,42.0,83.0,110.0,226.0,148.0,165.0,103.0,147.0,121.0,33.0,144.0,130.0,51.0,30.0,51.0,85.0,57.0,91.0,37.0,64.0,62.0,41.0,50.0,37.0
Hsa-Let-7-P2c3_3p* chr3 segs:1-29 cds:-:52268274-52268302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c3_5p,24097.0,16253.0,20027.0,35592.0,31380.0,54934.0,27227.0,16737.0,53724.0,18436.0,47054.0,29528.0,13583.0,12410.0,17715.0,30112.0,38757.0,42494.0,28542.0,31178.0,33063.0,44729.0,24841.0,24513.0,56968.0,24576.0,31310.0,68258.0,18636.0,14526.0,8518.0,22730.0,23841.0,33344.0,14432.0,22933.0,19098.0,18337.0,26125.0,14667.0
Hsa-Let-7-P2c3_5p chr3 segs:1-30 cds:-:52268330-52268359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P1_3p chr20 segs:1-30 cds:+:62554349-62554378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P1_3p/P2_3p,10.0,19.0,6.0,17.0,22.0,24.0,10.0,3.0,18.0,30.0,7.0,22.0,0.0,26.0,18.0,14.0,0.0,4.0,116.0,36.0,33.0,10.0,12.0,32.0,39.0,19.0,78.0,62.0,15.0,0.0,8.0,8.0,15.0,164.0,0.0,8.0,67.0,4.0,0.0,2.0
Hsa-Mir-1-P1_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P1_5p* chr20 segs:1-31 cds:+:62554310-62554340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P2_3p chr18 segs:1-30 cds:-:21829009-21829038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P2_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P2_5p* chr18 segs:1-30 cds:-:21829048-21829077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P3_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P3_3p chr6 segs:1-30 cds:+:52144399-52144428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P3_5p* chr6 segs:1-31 cds:+:52144361-52144391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v1_3p* chr17 segs:1-29 cds:-:48579858-48579886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v1_5p chr17 segs:1-30 cds:-:48579899-48579928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v2_3p* chr17 segs:1-29 cds:-:48579859-48579887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v2_5p chr17 segs:1-30 cds:-:48579898-48579927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a_3p*,421.0,458.0,128.0,718.0,2188.0,797.0,791.0,65.0,1060.0,179.0,1012.0,562.0,364.0,110.0,130.0,187.0,883.0,67.0,653.0,379.0,110.0,2722.0,190.0,1961.0,807.0,499.0,174.0,1766.0,1054.0,270.0,221.0,536.0,221.0,683.0,1024.0,437.0,227.0,618.0,418.0,512.0
Hsa-Mir-10-P1a_5p,839072.0,609807.0,215492.0,1017204.0,3084470.0,1514762.0,1149875.0,83933.0,1423757.0,395937.0,1152309.0,826667.0,459576.0,188789.0,287883.0,239945.0,959875.0,90386.0,1033985.0,784718.0,217250.0,4521680.0,347344.0,232538.0,995681.0,723022.0,298367.0,2616714.0,1633242.0,271516.0,269317.0,695052.0,343862.0,1020880.0,1056914.0,559691.0,334916.0,672584.0,509860.0,772071.0
Hsa-Mir-10-P1b-v1_3p* chr2 segs:1-29 cds:+:176150368-176150396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
