miRNA,P3,P30,P31,P32,P35,P36,P37,P38,P39,P4,P40,P5,P7,P8,P9,PN1,PN10,PN13,PN14,PN15_1,PN15_2,PN16,PN18,PN2,PN21,PN22,PN27,PN28,PN29,PN30,PN31,PN32,PN34,PN37,PN4,PN5,PN6
Hsa-Let-7-P1c_5p chr21 segs:1-30 cds:+:16539836-16539865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a1_3p*,60.0,109.0,39.0,61.0,87.0,64.0,76.0,61.0,41.0,76.0,19.0,39.0,96.0,26.0,43.0,108.0,144.0,40.0,24.0,153.0,108.0,45.0,56.0,81.0,46.0,27.0,98.0,94.0,16.0,51.0,16.0,38.0,22.0,51.0,135.0,68.0,68.0
Hsa-Let-7-P2a1_3p* chr9 segs:1-29 cds:+:94176011-94176039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a1_5p chr9 segs:1-30 cds:+:94175960-94175989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a2_3p*,55.0,38.0,18.0,55.0,71.0,9.0,30.0,29.0,18.0,37.0,12.0,48.0,65.0,20.0,23.0,72.0,101.0,47.0,31.0,112.0,78.0,35.0,31.0,30.0,37.0,21.0,38.0,54.0,5.0,25.0,10.0,16.0,15.0,27.0,61.0,31.0,36.0
Hsa-Let-7-P2a2_3p* chr22 segs:1-29 cds:+:46112798-46112826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a2_5p chr22 segs:1-30 cds:+:46112750-46112779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_3p*,0.0,0.0,0.0,82.0,102.0,27.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_3p* chrX segs:1-29 cds:-:53557191-53557219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_5p,38175.0,95911.0,39529.0,44979.0,62190.0,53785.0,70094.0,103723.0,23015.0,43646.0,41437.0,66859.0,102063.0,65591.0,74775.0,76252.0,80089.0,25695.0,24523.0,60149.0,87911.0,20253.0,27540.0,47466.0,33855.0,16715.0,67330.0,65089.0,39751.0,121266.0,30151.0,142209.0,38827.0,83697.0,60562.0,36255.0,56738.0
Hsa-Let-7-P2a3_5p chrX segs:1-30 cds:-:53557240-53557269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b1_3p*,35.0,28.0,8.0,18.0,26.0,10.0,8.0,15.0,10.0,13.0,10.0,17.0,36.0,15.0,14.0,35.0,33.0,18.0,22.0,29.0,29.0,15.0,12.0,22.0,21.0,7.0,21.0,32.0,2.0,14.0,5.0,12.0,9.0,14.0,29.0,23.0,20.0
Hsa-Let-7-P2b1_3p* chr9 segs:1-29 cds:+:94176407-94176435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b1_5p,11126.0,12266.0,4494.0,10345.0,11695.0,7792.0,13059.0,15963.0,3782.0,6735.0,5093.0,11650.0,23530.0,7969.0,11834.0,13121.0,15527.0,6067.0,4257.0,18227.0,14905.0,7361.0,7371.0,9104.0,7236.0,3334.0,12779.0,12986.0,5323.0,22580.0,4251.0,24528.0,6736.0,13968.0,12777.0,7771.0,9681.0
Hsa-Let-7-P2b1_5p chr9 segs:1-30 cds:+:94176351-94176380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b2_3p*,88.0,108.0,44.0,126.0,132.0,56.0,105.0,114.0,54.0,72.0,31.0,77.0,197.0,29.0,37.0,196.0,182.0,69.0,74.0,167.0,157.0,69.0,111.0,105.0,128.0,46.0,102.0,198.0,39.0,100.0,45.0,76.0,45.0,93.0,196.0,88.0,114.0
Hsa-Let-7-P2b2_3p* chr22 segs:1-29 cds:+:46113743-46113771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b2_5p,9969.0,22328.0,12715.0,16479.0,17143.0,16298.0,23529.0,24034.0,7915.0,13859.0,5315.0,10628.0,35553.0,5071.0,12531.0,27080.0,28598.0,6688.0,9117.0,22678.0,22970.0,6248.0,7098.0,13454.0,9777.0,5525.0,19062.0,16616.0,9870.0,23214.0,10387.0,39321.0,9367.0,21111.0,24846.0,8592.0,19430.0
Hsa-Let-7-P2b2_5p chr22 segs:1-30 cds:+:46113689-46113718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_3p*,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_3p* chrX segs:1-29 cds:-:53556236-53556264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_5p,5515.0,12414.0,5241.0,4302.0,5526.0,15519.0,7924.0,12864.0,9487.0,7241.0,5249.0,4519.0,8092.0,53970.0,5599.0,6075.0,6686.0,3151.0,2440.0,6502.0,7207.0,3766.0,2663.0,4397.0,3702.0,1659.0,4781.0,5034.0,4656.0,6410.0,4108.0,6850.0,3626.0,6388.0,5592.0,2841.0,4543.0
Hsa-Let-7-P2b3_5p chrX segs:1-30 cds:-:53556293-53556322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c1_3p*,452.0,1061.0,281.0,497.0,573.0,758.0,574.0,628.0,474.0,547.0,308.0,322.0,823.0,501.0,432.0,715.0,830.0,409.0,420.0,1017.0,804.0,399.0,342.0,377.0,415.0,261.0,491.0,596.0,149.0,692.0,193.0,320.0,261.0,553.0,634.0,371.0,387.0
Hsa-Let-7-P2c1_3p* chr9 segs:1-29 cds:+:94178893-94178921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c1_5p,2116.0,9612.0,2482.0,3280.0,2581.0,4049.0,4069.0,6278.0,3263.0,3271.0,2049.0,2701.0,5732.0,6307.0,3135.0,6335.0,6426.0,1780.0,1293.0,3888.0,6521.0,916.0,1205.0,4197.0,2239.0,952.0,5213.0,3774.0,2170.0,6266.0,2163.0,8389.0,1821.0,4902.0,5736.0,2043.0,4994.0
Hsa-Let-7-P2c1_5p chr9 segs:1-30 cds:+:94178839-94178868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c2_3p*,171.0,57.0,42.0,305.0,175.0,61.0,126.0,90.0,103.0,220.0,32.0,79.0,362.0,34.0,40.0,278.0,306.0,124.0,96.0,347.0,366.0,205.0,98.0,100.0,123.0,89.0,171.0,202.0,19.0,143.0,75.0,77.0,67.0,191.0,274.0,131.0,132.0
Hsa-Let-7-P2c2_3p* chr12 segs:1-29 cds:+:62603745-62603773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c2_5p,15445.0,18938.0,9981.0,24167.0,28365.0,13937.0,23106.0,18334.0,12337.0,28856.0,6691.0,9382.0,33495.0,7090.0,7667.0,14183.0,17251.0,7500.0,5187.0,22735.0,14847.0,13137.0,9330.0,7939.0,7639.0,4595.0,9538.0,10526.0,4041.0,16484.0,5399.0,16586.0,6633.0,11123.0,13416.0,7276.0,7436.0
Hsa-Let-7-P2c2_5p chr12 segs:1-30 cds:+:62603689-62603718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c3_3p*,44.0,50.0,15.0,53.0,65.0,16.0,39.0,23.0,40.0,43.0,0.0,39.0,82.0,15.0,37.0,91.0,82.0,38.0,35.0,95.0,100.0,37.0,34.0,29.0,31.0,22.0,55.0,46.0,10.0,50.0,22.0,32.0,19.0,46.0,88.0,41.0,54.0
Hsa-Let-7-P2c3_3p* chr3 segs:1-29 cds:-:52268274-52268302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c3_5p,20613.0,44389.0,13603.0,27273.0,22397.0,11814.0,19938.0,47681.0,13713.0,20197.0,12495.0,34107.0,55028.0,10808.0,33194.0,44883.0,52007.0,14173.0,13814.0,32037.0,53592.0,9844.0,11608.0,20629.0,15703.0,10882.0,37161.0,39673.0,18998.0,62268.0,16229.0,82188.0,19921.0,51433.0,39718.0,21079.0,29943.0
Hsa-Let-7-P2c3_5p chr3 segs:1-30 cds:-:52268330-52268359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P1_3p chr20 segs:1-30 cds:+:62554349-62554378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P1_3p/P2_3p,140.0,55.0,177.0,42.0,0.0,67.0,40.0,276.0,37.0,4.0,4.0,11.0,154.0,7.0,96.0,243.0,115.0,32.0,124.0,364.0,168.0,26.0,235.0,1219.0,652.0,48.0,1618.0,74.0,374.0,43.0,85.0,97.0,77.0,130.0,227.0,29.0,194.0
Hsa-Mir-1-P1_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Hsa-Mir-1-P1_5p* chr20 segs:1-31 cds:+:62554310-62554340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P2_3p chr18 segs:1-30 cds:-:21829009-21829038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P2_5p* chr18 segs:1-30 cds:-:21829048-21829077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P3_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P3_3p chr6 segs:1-30 cds:+:52144399-52144428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P3_5p* chr6 segs:1-31 cds:+:52144361-52144391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v1_3p* chr17 segs:1-29 cds:-:48579858-48579886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v1_5p chr17 segs:1-30 cds:-:48579899-48579928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v2_3p* chr17 segs:1-29 cds:-:48579859-48579887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v2_5p chr17 segs:1-30 cds:-:48579898-48579927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a_3p*,93.0,801.0,136.0,253.0,437.0,183.0,281.0,324.0,196.0,283.0,96.0,413.0,1118.0,204.0,583.0,314.0,373.0,79.0,119.0,361.0,364.0,57.0,86.0,143.0,195.0,118.0,260.0,212.0,47.0,166.0,70.0,146.0,70.0,375.0,246.0,184.0,152.0
Hsa-Mir-10-P1a_5p,188627.0,2117270.0,649215.0,397086.0,639473.0,906218.0,877686.0,715577.0,895867.0,317212.0,734617.0,804252.0,1744250.0,2531855.0,415492.0,379585.0,508742.0,135432.0,275246.0,283961.0,425850.0,107817.0,186256.0,263958.0,225175.0,319152.0,291442.0,329976.0,541139.0,447583.0,555987.0,470440.0,394946.0,560527.0,347451.0,223415.0,214826.0
Hsa-Mir-10-P1b-v1_3p* chr2 segs:1-29 cds:+:176150368-176150396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1b-v1_5p chr2 segs:1-30 cds:+:176150327-176150356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1b-v2_3p* chr2 segs:1-29 cds:+:176150367-176150395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1b-v2_5p chr2 segs:1-30 cds:+:176150328-176150357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1b_3p*,94.0,16.0,19.0,25.0,40.0,63.0,120.0,10.0,118.0,26.0,10.0,8.0,15.0,20.0,9.0,144.0,136.0,30.0,75.0,75.0,102.0,10.0,23.0,40.0,36.0,12.0,49.0,73.0,29.0,31.0,50.0,32.0,24.0,95.0,105.0,63.0,51.0
Hsa-Mir-10-P1b_5p,477545.0,88312.0,215568.0,122802.0,235990.0,411051.0,433210.0,93882.0,704246.0,157567.0,138591.0,99142.0,121455.0,675429.0,81028.0,424615.0,605788.0,142024.0,823371.0,351901.0,281751.0,149144.0,421168.0,144358.0,174505.0,183507.0,147074.0,407216.0,563032.0,308821.0,712181.0,605787.0,339983.0,683079.0,392910.0,294866.0,157316.0
Hsa-Mir-10-P2a_3p*,57.0,31.0,11.0,34.0,54.0,11.0,53.0,31.0,21.0,46.0,3.0,8.0,68.0,0.0,5.0,30.0,29.0,9.0,15.0,30.0,12.0,7.0,47.0,27.0,29.0,8.0,34.0,19.0,8.0,11.0,0.0,21.0,6.0,13.0,67.0,21.0,19.0
Hsa-Mir-10-P2a_3p* chr11 segs:1-30 cds:-:122152234-122152263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P2a_5p,6255.0,12237.0,8100.0,6127.0,16847.0,9722.0,26041.0,3266.0,14297.0,3936.0,1653.0,260.0,9864.0,640.0,807.0,7540.0,7933.0,1739.0,4381.0,7428.0,3595.0,2145.0,3998.0,6303.0,4582.0,1329.0,10458.0,2733.0,9914.0,2275.0,4668.0,2627.0,8620.0,3041.0,8142.0,1215.0,4246.0
Hsa-Mir-10-P2a_5p chr11 segs:1-30 cds:-:122152269-122152298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P2b_3p*,96.0,188.0,54.0,106.0,263.0,162.0,86.0,148.0,374.0,87.0,22.0,33.0,273.0,13.0,42.0,76.0,103.0,47.0,80.0,158.0,102.0,64.0,116.0,82.0,129.0,39.0,100.0,55.0,10.0,54.0,17.0,110.0,15.0,77.0,72.0,51.0,34.0
Hsa-Mir-10-P2b_3p* chr19 segs:1-30 cds:+:51692654-51692683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
