miRNA,M6_2,M7,M9,MN1,MN12_1,MN12_2,MN15,MN16,MN18,MN19,MN21,MN28,MN32,MN34,MN5,MN6,P1,P10,P12,P13,P14,P15_1,P15_2,P16,P18,P19,P20,P22,P23,P24,P25,P26,P27,P28,P29
Hsa-Let-7-P1c_5p,7406.0,3094.0,2440.0,14728.0,12173.0,9455.0,8375.0,27526.0,19225.0,22400.0,15916.0,21297.0,8617.0,14105.0,21822.0,10186.0,1389.0,2398.0,678.0,909.0,616.0,4787.0,7984.0,4023.0,263.0,1058.0,1220.0,1495.0,5096.0,1103.0,3552.0,2873.0,3057.0,4679.0,1858.0
Hsa-Let-7-P1c_5p chr21 segs:1-30 cds:+:16539836-16539865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a1_3p*,161.0,40.0,24.0,142.0,91.0,92.0,31.0,86.0,68.0,57.0,70.0,70.0,65.0,52.0,83.0,28.0,142.0,80.0,47.0,121.0,73.0,67.0,28.0,44.0,35.0,94.0,59.0,60.0,131.0,78.0,174.0,57.0,145.0,70.0,73.0
Hsa-Let-7-P2a1_3p* chr9 segs:1-29 cds:+:94176011-94176039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a1_5p chr9 segs:1-30 cds:+:94175960-94175989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a2_3p*,69.0,28.0,20.0,70.0,68.0,92.0,26.0,71.0,69.0,35.0,47.0,62.0,60.0,19.0,41.0,24.0,92.0,59.0,45.0,100.0,33.0,51.0,30.0,50.0,25.0,52.0,37.0,50.0,97.0,40.0,49.0,63.0,43.0,45.0,26.0
Hsa-Let-7-P2a2_3p* chr22 segs:1-29 cds:+:46112798-46112826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a2_5p chr22 segs:1-30 cds:+:46112750-46112779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_3p*,0.0,95.0,0.0,0.0,135.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_3p* chrX segs:1-29 cds:-:53557191-53557219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_5p,100255.0,50142.0,30441.0,102295.0,45936.0,60730.0,26653.0,57995.0,59218.0,54893.0,42680.0,73665.0,105814.0,54398.0,74463.0,27087.0,91772.0,176715.0,35539.0,51923.0,65241.0,73923.0,37753.0,15054.0,12760.0,87221.0,31745.0,34960.0,76900.0,51613.0,73592.0,62466.0,68706.0,33115.0,61092.0
Hsa-Let-7-P2a3_5p chrX segs:1-30 cds:-:53557240-53557269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b1_3p*,26.0,8.0,7.0,19.0,16.0,12.0,9.0,19.0,0.0,14.0,13.0,29.0,22.0,9.0,10.0,6.0,33.0,34.0,20.0,62.0,21.0,14.0,14.0,19.0,11.0,25.0,17.0,23.0,62.0,17.0,19.0,23.0,21.0,18.0,7.0
Hsa-Let-7-P2b1_3p* chr9 segs:1-29 cds:+:94176407-94176435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b1_5p,10284.0,11255.0,5211.0,33271.0,11959.0,23445.0,6946.0,21135.0,14012.0,12394.0,9742.0,16261.0,36951.0,12674.0,20415.0,6764.0,16420.0,23673.0,5790.0,8740.0,7450.0,13020.0,6149.0,5601.0,3117.0,12462.0,4490.0,6063.0,15286.0,9422.0,7477.0,9678.0,7895.0,6199.0,9411.0
Hsa-Let-7-P2b1_5p chr9 segs:1-30 cds:+:94176351-94176380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b2_3p*,164.0,69.0,19.0,202.0,147.0,151.0,43.0,225.0,113.0,144.0,144.0,224.0,196.0,65.0,225.0,19.0,202.0,125.0,85.0,262.0,79.0,129.0,89.0,150.0,67.0,131.0,85.0,99.0,222.0,68.0,121.0,134.0,106.0,104.0,65.0
Hsa-Let-7-P2b2_3p* chr22 segs:1-29 cds:+:46113743-46113771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b2_5p,31521.0,13947.0,4597.0,33941.0,9608.0,20015.0,5266.0,23113.0,11219.0,14255.0,9510.0,13453.0,25021.0,10548.0,15873.0,6698.0,23322.0,22020.0,9842.0,20457.0,9037.0,24898.0,12037.0,8672.0,3192.0,20066.0,7590.0,7715.0,19992.0,15947.0,29024.0,17198.0,18390.0,13234.0,15452.0
Hsa-Let-7-P2b2_5p chr22 segs:1-30 cds:+:46113689-46113718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_3p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_3p* chrX segs:1-29 cds:-:53556236-53556264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_5p,13574.0,4471.0,2554.0,7090.0,3034.0,5807.0,1653.0,4810.0,3244.0,4419.0,3398.0,4503.0,6228.0,2893.0,3294.0,2032.0,13780.0,23588.0,3232.0,3523.0,9905.0,20536.0,7497.0,3042.0,3846.0,10462.0,8555.0,4216.0,8785.0,4835.0,7970.0,13123.0,8166.0,5850.0,6728.0
Hsa-Let-7-P2b3_5p chrX segs:1-30 cds:-:53556293-53556322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c1_3p*,843.0,352.0,211.0,661.0,424.0,612.0,186.0,510.0,264.0,293.0,277.0,396.0,887.0,299.0,465.0,143.0,1220.0,802.0,298.0,646.0,641.0,565.0,248.0,513.0,281.0,644.0,520.0,402.0,858.0,429.0,461.0,636.0,761.0,389.0,378.0
Hsa-Let-7-P2c1_3p* chr9 segs:1-29 cds:+:94178893-94178921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c1_5p,9727.0,3598.0,1567.0,8268.0,2008.0,2254.0,1170.0,2871.0,2088.0,2196.0,1944.0,3351.0,5755.0,1804.0,2415.0,1368.0,7756.0,8191.0,1753.0,3102.0,3681.0,5892.0,2410.0,936.0,875.0,4955.0,2231.0,1714.0,5019.0,4866.0,4414.0,3417.0,6846.0,1339.0,3675.0
Hsa-Let-7-P2c1_5p chr9 segs:1-30 cds:+:94178839-94178868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c2_3p*,147.0,81.0,24.0,242.0,73.0,85.0,56.0,146.0,39.0,65.0,87.0,65.0,130.0,47.0,97.0,45.0,388.0,81.0,132.0,168.0,56.0,156.0,119.0,257.0,165.0,166.0,95.0,119.0,176.0,80.0,59.0,103.0,83.0,143.0,88.0
Hsa-Let-7-P2c2_3p* chr12 segs:1-29 cds:+:62603745-62603773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c2_5p,20709.0,7704.0,3618.0,24325.0,12439.0,25101.0,4566.0,24352.0,7745.0,8026.0,6552.0,7509.0,20161.0,6810.0,9058.0,4645.0,33724.0,16389.0,13638.0,16010.0,9607.0,17842.0,11450.0,13643.0,9821.0,12600.0,23492.0,18738.0,22938.0,10801.0,11379.0,18671.0,9875.0,18606.0,10107.0
Hsa-Let-7-P2c2_5p chr12 segs:1-30 cds:+:62603689-62603718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c3_3p*,53.0,28.0,34.0,93.0,86.0,47.0,42.0,50.0,41.0,0.0,40.0,43.0,43.0,26.0,45.0,27.0,58.0,39.0,52.0,67.0,30.0,38.0,13.0,25.0,23.0,52.0,25.0,33.0,63.0,37.0,36.0,50.0,56.0,46.0,24.0
Hsa-Let-7-P2c3_3p* chr3 segs:1-29 cds:-:52268274-52268302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c3_5p,40858.0,18603.0,10283.0,31128.0,22242.0,16004.0,12215.0,16587.0,33631.0,29743.0,23793.0,41049.0,27377.0,25709.0,29422.0,14062.0,29243.0,55372.0,18788.0,27158.0,22802.0,27403.0,10452.0,8328.0,6309.0,40567.0,9895.0,15880.0,41582.0,23707.0,34308.0,36360.0,37564.0,14968.0,35553.0
Hsa-Let-7-P2c3_5p chr3 segs:1-30 cds:-:52268330-52268359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P1_3p chr20 segs:1-30 cds:+:62554349-62554378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P1_3p/P2_3p,71.0,5.0,0.0,22.0,15.0,48.0,4.0,121.0,25.0,9.0,7.0,3.0,22.0,6.0,30.0,6.0,49.0,72.0,33.0,41.0,11.0,95.0,106.0,37.0,0.0,43.0,26.0,45.0,187.0,6.0,20.0,52.0,139.0,54.0,169.0
Hsa-Mir-1-P1_5p*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P1_5p* chr20 segs:1-31 cds:+:62554310-62554340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P2_3p chr18 segs:1-30 cds:-:21829009-21829038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P2_5p* chr18 segs:1-30 cds:-:21829048-21829077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P3_3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0
Hsa-Mir-1-P3_3p chr6 segs:1-30 cds:+:52144399-52144428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P3_5p* chr6 segs:1-31 cds:+:52144361-52144391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v1_3p* chr17 segs:1-29 cds:-:48579858-48579886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v1_5p chr17 segs:1-30 cds:-:48579899-48579928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v2_3p* chr17 segs:1-29 cds:-:48579859-48579887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a-v2_5p chr17 segs:1-30 cds:-:48579898-48579927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1a_3p*,247.0,253.0,416.0,144.0,72.0,74.0,55.0,70.0,46.0,52.0,50.0,38.0,73.0,59.0,98.0,23.0,175.0,610.0,92.0,181.0,473.0,103.0,47.0,68.0,170.0,198.0,365.0,179.0,564.0,580.0,311.0,548.0,686.0,617.0,657.0
Hsa-Mir-10-P1a_5p,383348.0,412084.0,595287.0,258190.0,80911.0,112519.0,62447.0,100572.0,111450.0,115778.0,93512.0,91513.0,237651.0,127530.0,347973.0,35888.0,229260.0,2451066.0,129165.0,274472.0,521822.0,617828.0,908341.0,136297.0,201114.0,451758.0,366164.0,297992.0,645326.0,605921.0,368048.0,401744.0,583077.0,983463.0,1219749.0
Hsa-Mir-10-P1b-v1_3p* chr2 segs:1-29 cds:+:176150368-176150396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1b-v1_5p chr2 segs:1-30 cds:+:176150327-176150356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1b-v2_3p* chr2 segs:1-29 cds:+:176150367-176150395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1b-v2_5p chr2 segs:1-30 cds:+:176150328-176150357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P1b_3p*,13.0,0.0,14.0,9.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,26.0,68.0,17.0,18.0,12.0,24.0,25.0,9.0,9.0,35.0,5.0,21.0,45.0,32.0,11.0,66.0,10.0,86.0,31.0
Hsa-Mir-10-P1b_5p,78354.0,4504.0,84049.0,50320.0,14841.0,27382.0,3782.0,549943.0,23265.0,12261.0,7235.0,5892.0,21551.0,10492.0,57882.0,2090.0,195852.0,1163112.0,83155.0,71303.0,95587.0,303439.0,1021560.0,168553.0,51068.0,175680.0,150884.0,187386.0,182685.0,148750.0,79087.0,429259.0,52399.0,751641.0,140245.0
Hsa-Mir-10-P2a_3p*,23.0,8.0,14.0,69.0,93.0,265.0,19.0,168.0,76.0,93.0,51.0,114.0,93.0,36.0,165.0,7.0,27.0,24.0,24.0,11.0,8.0,26.0,66.0,24.0,0.0,7.0,58.0,30.0,58.0,22.0,13.0,41.0,13.0,36.0,29.0
Hsa-Mir-10-P2a_3p* chr11 segs:1-30 cds:-:122152234-122152263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P2a_5p,4928.0,2192.0,722.0,17136.0,15166.0,25916.0,4444.0,19038.0,15442.0,18591.0,9424.0,12489.0,10401.0,13283.0,32208.0,3709.0,1993.0,5667.0,1871.0,2579.0,618.0,11275.0,15047.0,5992.0,750.0,4263.0,1746.0,2600.0,8698.0,7210.0,11195.0,1903.0,10384.0,9847.0,10848.0
Hsa-Mir-10-P2a_5p chr11 segs:1-30 cds:-:122152269-122152298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P2b_3p*,174.0,72.0,34.0,174.0,101.0,269.0,19.0,206.0,57.0,96.0,56.0,49.0,227.0,52.0,82.0,15.0,148.0,125.0,50.0,62.0,71.0,162.0,61.0,102.0,53.0,77.0,99.0,130.0,133.0,38.0,74.0,251.0,117.0,228.0,79.0
Hsa-Mir-10-P2b_3p* chr19 segs:1-30 cds:+:51692654-51692683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P2b_5p,18645.0,5341.0,2666.0,24597.0,10896.0,26402.0,2954.0,24975.0,5645.0,11488.0,6902.0,4599.0,16837.0,8909.0,27697.0,2124.0,6017.0,30379.0,3837.0,6036.0,3946.0,24769.0,16824.0,8908.0,5138.0,12290.0,3365.0,7030.0,18424.0,5045.0,19777.0,7006.0,20723.0,23216.0,23829.0
Hsa-Mir-10-P2b_5p chr19 segs:1-30 cds:+:51692616-51692645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-10-P2c_3p*,52.0,41.0,48.0,289.0,734.0,262.0,201.0,493.0,493.0,427.0,418.0,387.0,144.0,190.0,437.0,162.0,25.0,10.0,11.0,15.0,8.0,32.0,28.0,64.0,7.0,14.0,29.0,29.0,50.0,19.0,50.0,47.0,49.0,66.0,9.0
Hsa-Mir-10-P2c_3p* chr21 segs:1-31 cds:+:16539136-16539166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
