miRNA,115N_RPI22_CGTACG_S50_L006_R1_001,115T_RPI33_CAGGCG_S49_L006_R1_001,138N3_RPI23_GAGTGG_S52_L006_R1_001,154N3_RPI24_GGTAGC_S54_L006_R1_001,189b_RPI36_CCAACA_S53_L006_R1_001,COMET-0003M1-1_RPI25_ACTGAT_S31_L006_R1_001,COMET-0003NLi1_RPI13_AGTCAA_S32_L006_R1_001,COMET-0011M1-1_RPI26_ATGAGC_S33_L006_R1_001,COMET-0011NLi_RPI14_AGTTCC_S34_L006_R1_001,COMET-0014M1-1_RPI27_ATTCCT_S35_L006_R1_001,COMET-0014NLi1_RPI15_ATGTCA_S36_L006_R1_001,COMET-0016M1-1_RPI28_CAAAAG_S37_L006_R1_001,COMET-0016NLi1_RPI16_CCGTCC_S38_L006_R1_001,COMET-0026M1-1_RPI29_CAACTA_S39_L006_R1_001,COMET-0026NLi1_RPI17_GTAGAG_S40_L006_R1_001,COMET-0027M3-1_RPI30_CACCGG_S41_L006_R1_001,COMET-0027NLi1_RPI18_GTCCGC_S42_L006_R1_001,COMET-0028M1-1_RPI31_CACGAT_S43_L006_R1_001,COMET-0028NLi1_RPI19_GTGAAA_S44_L006_R1_001,COMET-0035M1-1_RPI32_CACTCA_S45_L006_R1_001,COMET-0035NLi1_RPI20_GTGGCC_S46_L006_R1_001,COMET-0059M1-1_RPI34_CATGGC_S47_L006_R1_001,COMET-0059NLi1_RPI21_GTTTCG_S48_L006_R1_001,GCF0196-0001Me_RPI1__ATCACG__S1_R1_001,GCF0196-0002Me_RPI2__CGATGT__S4_R1_001,GCF0196-0004Me_RPI6__GCCAAT__S16_R1_001,GCF0196-000PC1_RPI18__GTCCGC__S6_R1_001,GCF0196-000PC4_RPI19__GTGAAA__S9_R1_001,GCF0196-001NLU_RPI8__ACTTGA__S22_R1_001,GCF0196-0020Me_RPI7__CAGATC__S19_R1_001,GCF0196-0029Me_RPI3__TTAGGC__S7_R1_001,GCF0196-002NLU_RPI9__GATCAG__S2_R1_001,GCF0196-004NLU_RPI13__AGTCAA__S14_R1_001,GCF0196-0056Me_RPI4__TGACCA__S10_R1_001,GCF0196-00PC83_RPI15__ATGTCA__S20_R1_001,GCF0196-020NLU_RPI14__AGTTCC__S17_R1_001,GCF0196-029NLU_RPI10__TAGCTT__S5_R1_001,GCF0196-056NLU_RPI11__GGCTAC__S8_R1_001,GCF0196-0701Me_RPI5__ACAGTG__S13_R1_001,GCF0196-0PC031_RPI20__GTGGCC__S12_R1_001,GCF0196-0PC084_RPI21__GTTTCG__S15_R1_001,GCF0196-0PC095_RPI22__CGTACG__S18_R1_001,GCF0196-0PC104_RPI16__CCGTCC__S23_R1_001,GCF0196-0PC137_RPI24__GGTAGC__S24_R1_001,GCF0196-0PC146_RPI17__GTAGAG__S3_R1_001,GCF0196-701NLU_RPI12__CTTGTA__S11_R1_001,GCF0196-PCB752_RPI23__GAGTGG__S21_R1_001,LARC-EX_138T_RPI35_CATTTT_S51_L006_R1_001
Hsa-Let-7-P1c_5p,2166.0,443.0,4056.0,10373.0,2398.0,10811.0,10319.0,6357.0,13532.0,2726.0,7233.0,1895.0,7997.0,2140.0,5556.0,12042.0,10218.0,1654.0,11703.0,1198.0,10055.0,2991.0,6067.0,801.0,2967.0,5550.0,10899.0,14019.0,4529.0,7335.0,7457.0,9017.0,24555.0,6720.0,75408.0,35622.0,33496.0,29418.0,10566.0,10765.0,8902.0,24501.0,5523.0,316.0,3146.0,24523.0,2761.0,1835.0
Hsa-Let-7-P1c_5p chr21 segs:1-30 cds:+:16539836-16539865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a1_3p*,29.0,95.0,51.0,112.0,88.0,412.0,13.0,48.0,48.0,18.0,6.0,25.0,15.0,130.0,7.0,154.0,9.0,135.0,13.0,73.0,38.0,104.0,26.0,12.0,142.0,229.0,103.0,228.0,3.0,285.0,282.0,24.0,290.0,261.0,561.0,321.0,325.0,352.0,388.0,202.0,164.0,180.0,131.0,90.0,128.0,321.0,229.0,68.0
Hsa-Let-7-P2a1_3p* chr9 segs:1-29 cds:+:94176011-94176039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a1_5p chr9 segs:1-30 cds:+:94175960-94175989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a2_3p*,17.0,84.0,35.0,74.0,64.0,216.0,5.0,17.0,25.0,3.0,0.0,5.0,4.0,72.0,0.0,101.0,2.0,51.0,0.0,66.0,35.0,78.0,19.0,10.0,107.0,121.0,46.0,265.0,5.0,243.0,248.0,11.0,266.0,348.0,504.0,285.0,263.0,365.0,277.0,189.0,77.0,148.0,77.0,112.0,121.0,268.0,65.0,28.0
Hsa-Let-7-P2a2_3p* chr22 segs:1-29 cds:+:46112798-46112826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a2_5p chr22 segs:1-30 cds:+:46112750-46112779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_3p*,0.0,61.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,11.0,138.0,0.0,0.0,305.0,0.0,0.0,368.0,0.0,251.0,455.0,0.0,362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_3p* chrX segs:1-29 cds:-:53557191-53557219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2a3_5p,37316.0,42931.0,55788.0,73245.0,55418.0,164789.0,18663.0,76837.0,46103.0,30365.0,8237.0,23625.0,17127.0,157307.0,14595.0,100060.0,21705.0,98271.0,25946.0,109323.0,24436.0,118494.0,27616.0,24097.0,80188.0,165256.0,107463.0,132127.0,16733.0,127001.0,135328.0,34234.0,268502.0,141654.0,247374.0,258409.0,249667.0,226807.0,193565.0,142252.0,110323.0,101924.0,100408.0,61638.0,89826.0,207252.0,173945.0,63065.0
Hsa-Let-7-P2a3_5p chrX segs:1-30 cds:-:53557240-53557269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b1_3p*,9.0,22.0,19.0,29.0,30.0,73.0,5.0,9.0,5.0,6.0,3.0,0.0,2.0,44.0,0.0,37.0,6.0,38.0,4.0,34.0,5.0,35.0,7.0,0.0,37.0,42.0,16.0,57.0,0.0,71.0,53.0,3.0,59.0,104.0,86.0,57.0,73.0,57.0,70.0,50.0,31.0,45.0,16.0,9.0,26.0,51.0,30.0,28.0
Hsa-Let-7-P2b1_3p* chr9 segs:1-29 cds:+:94176407-94176435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b1_5p,10520.0,9673.0,15697.0,19072.0,9837.0,33067.0,3814.0,14888.0,10112.0,4261.0,1436.0,3003.0,3137.0,24831.0,2891.0,20780.0,4202.0,18528.0,5043.0,24117.0,6809.0,18931.0,6307.0,5779.0,18629.0,19551.0,24441.0,37534.0,5366.0,36896.0,37254.0,10540.0,99692.0,42214.0,55819.0,90687.0,91706.0,88539.0,55297.0,25795.0,24340.0,27245.0,16481.0,12339.0,23583.0,69528.0,28011.0,11923.0
Hsa-Let-7-P2b1_5p chr9 segs:1-30 cds:+:94176351-94176380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b2_3p*,66.0,75.0,77.0,105.0,124.0,273.0,72.0,59.0,83.0,79.0,39.0,33.0,44.0,112.0,19.0,126.0,41.0,100.0,58.0,70.0,49.0,90.0,60.0,4.0,147.0,88.0,156.0,315.0,58.0,160.0,209.0,58.0,377.0,313.0,385.0,372.0,481.0,379.0,260.0,215.0,113.0,175.0,99.0,78.0,92.0,361.0,135.0,83.0
Hsa-Let-7-P2b2_3p* chr22 segs:1-29 cds:+:46113743-46113771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b2_5p,26153.0,12227.0,39795.0,44242.0,13430.0,45942.0,11105.0,16279.0,9812.0,17601.0,8187.0,11410.0,7442.0,23420.0,5165.0,27282.0,7455.0,24787.0,9123.0,14323.0,5842.0,25809.0,5490.0,4355.0,18561.0,13056.0,29783.0,33107.0,17493.0,23625.0,23138.0,30094.0,58223.0,35317.0,35195.0,47610.0,57775.0,50922.0,28529.0,20828.0,21401.0,23569.0,14014.0,8192.0,19448.0,46188.0,10697.0,23403.0
Hsa-Let-7-P2b2_5p chr22 segs:1-30 cds:+:46113689-46113718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_3p*,14.0,0.0,0.0,38.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,118.0,0.0,0.0,108.0,103.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,23.0
Hsa-Let-7-P2b3_3p* chrX segs:1-29 cds:-:53556236-53556264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2b3_5p,4310.0,3969.0,7357.0,7092.0,5683.0,15958.0,1088.0,2722.0,2451.0,2552.0,377.0,1786.0,711.0,11346.0,555.0,13026.0,989.0,8614.0,1220.0,15718.0,1911.0,5602.0,1257.0,7757.0,9709.0,27223.0,7989.0,20515.0,852.0,22012.0,16187.0,2353.0,22886.0,17481.0,22847.0,15568.0,14473.0,21577.0,19505.0,11683.0,8887.0,10335.0,7025.0,5792.0,9745.0,18820.0,11153.0,6169.0
Hsa-Let-7-P2b3_5p chrX segs:1-30 cds:-:53556293-53556322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c1_3p*,724.0,722.0,709.0,1199.0,592.0,1335.0,412.0,634.0,266.0,1423.0,151.0,463.0,194.0,1833.0,136.0,1025.0,158.0,756.0,230.0,1010.0,184.0,937.0,159.0,629.0,631.0,832.0,1229.0,1426.0,779.0,580.0,704.0,757.0,1822.0,1539.0,1913.0,1124.0,1270.0,1403.0,1038.0,1121.0,854.0,589.0,825.0,350.0,637.0,1028.0,900.0,682.0
Hsa-Let-7-P2c1_3p* chr9 segs:1-29 cds:+:94178893-94178921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c1_5p,3053.0,2656.0,4291.0,5723.0,3078.0,8125.0,1246.0,3328.0,1582.0,3917.0,679.0,2284.0,865.0,10072.0,611.0,5107.0,1169.0,4035.0,1377.0,5589.0,817.0,6117.0,940.0,2599.0,3321.0,7460.0,4823.0,6593.0,1524.0,4279.0,5125.0,3451.0,12499.0,5752.0,10701.0,12526.0,10732.0,9994.0,6643.0,5918.0,4474.0,4221.0,4445.0,1660.0,3687.0,8101.0,4684.0,4909.0
Hsa-Let-7-P2c1_5p chr9 segs:1-30 cds:+:94178839-94178868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c2_3p*,205.0,297.0,168.0,234.0,206.0,689.0,29.0,36.0,41.0,19.0,3.0,12.0,15.0,192.0,9.0,289.0,15.0,185.0,10.0,154.0,61.0,124.0,28.0,50.0,200.0,164.0,201.0,731.0,24.0,420.0,569.0,44.0,512.0,560.0,391.0,395.0,390.0,475.0,584.0,327.0,190.0,228.0,128.0,155.0,288.0,400.0,91.0,128.0
Hsa-Let-7-P2c2_3p* chr12 segs:1-29 cds:+:62603745-62603773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c2_5p,14649.0,17591.0,16971.0,20163.0,19559.0,71898.0,2587.0,8589.0,5666.0,4158.0,931.0,2629.0,1353.0,34507.0,1449.0,29226.0,1926.0,25124.0,1902.0,16077.0,4503.0,12791.0,3530.0,15049.0,31223.0,28074.0,54604.0,124950.0,4967.0,62270.0,50888.0,9958.0,78233.0,64980.0,95050.0,72415.0,70747.0,74494.0,60050.0,52370.0,39083.0,53149.0,29463.0,36322.0,57376.0,61947.0,24991.0,18560.0
Hsa-Let-7-P2c2_5p chr12 segs:1-30 cds:+:62603689-62603718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c3_3p*,40.0,69.0,36.0,60.0,30.0,135.0,3.0,15.0,21.0,5.0,0.0,0.0,0.0,71.0,0.0,85.0,0.0,33.0,0.0,74.0,34.0,57.0,19.0,22.0,70.0,115.0,42.0,157.0,3.0,181.0,213.0,8.0,195.0,225.0,206.0,141.0,152.0,203.0,215.0,80.0,69.0,74.0,75.0,41.0,84.0,192.0,0.0,30.0
Hsa-Let-7-P2c3_3p* chr3 segs:1-29 cds:-:52268274-52268302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Let-7-P2c3_5p,24188.0,20494.0,32391.0,36585.0,16385.0,62292.0,10415.0,27063.0,19953.0,12541.0,4333.0,12662.0,7855.0,52680.0,6152.0,35860.0,9696.0,32002.0,13021.0,41780.0,12111.0,41605.0,10760.0,12912.0,30385.0,43207.0,28412.0,45969.0,5570.0,41375.0,46857.0,13684.0,79157.0,39253.0,58303.0,78276.0,78640.0,69601.0,53965.0,33159.0,31264.0,29736.0,41673.0,10848.0,34626.0,59411.0,16515.0,25118.0
Hsa-Let-7-P2c3_5p chr3 segs:1-30 cds:-:52268330-52268359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hsa-Mir-1-P1_3p chr20 segs:1-30 cds:+:62554349-62554378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
